Bus_Pers,License_Type,License_Subtype,Name,DBA_Name,Addr1,Addr2,City,St,Zip,Phone_No,Email_Address,Lic_Number,Status,Orig_Date,Exp_Date,Enforcement_Action,Renewal_in_Progress
"Business","Contractor Registration","Business Entity","Palmer-Soderberg Inc","","3730 - 40th Avenue Northwest","","Rochester ","MN","55901","5072884213","","IR652959","Issued","08/31/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Belrose & Co Inc","","640 - 11th Ave. S.","","Hopkins","MN","55343","9529330946","","IR652963","Issued","08/31/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Semple Excavating & Trucking, Inc.","","91 Ridder Circle","","St Paul","MN","55107","6517721449","","IR652965","Issued","08/31/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Red Wing Painting LLC","","30748 Flueger Rd","","Red Wing ","MN","55066","6513015722","","IR652968","Issued","08/31/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Bobs SW - Masonry Divsion Inc","Bob's Sparkle Wash - Masonry","1135 114th Lane NW","","Coon Rapids","MN","55448","7632256201","","IR652502","Issued","08/23/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","JDS & WMK Inc","Overhead Door Company of The Northland","3195 Terminal Drive ","","Eagan","MN","55121","6512690313","","IR652510","Issued","08/23/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","O'Gorman Masonry Inc","","26980 Michael Avenue","","Cannon Falls","MN","55009","5072632592","","IR652527","Issued","08/23/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Johnsons Carpet Tile and Linoleum Co","Johnsons Carpet One","5611 Grand Ave","","Duluth","MN","55807","2186282249","","IR652542","Issued","08/24/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Kelleher Construction, Inc.","","11531 Rupp Drive","","Burnsville","MN","55337","9528906772","","IR652544","Issued","08/24/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Frattalone Companies, Inc.","","3205 Spruce Street","","ST PAUL","MN","55117","6514840448","","IR652547","Issued","08/24/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Mid Central Door Co.","","3073 3rd Street South","","Waite Park","MN","56387","3202531312","","IR652554","Issued","08/24/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Harris - Billings Co.","","9913 - 13th Ave. No.","","Plymouth","MN","55447","7635417858","","IR652564","Issued","08/24/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Fire Suppression Services LLC","","4508 Baxter Road ","Po Box 37","Princeton","MN","55371","7633892183","","IR652565","Issued","08/24/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Contract Caulking Inc","","10843 Fillmore St. NE","","Blaine","MN","55434","6122215646","","IR652566","Issued","08/24/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","National Steel Fabricators Inc.","","W16890 U.S. Highway 8","","Rice Lake","WI","54868","7153532500","","IR652567","Issued","08/24/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Allstate Seamless Gutters Inc.","","20583 Nevada Ave.","","Prior Lake","MN","55372","9522004850","","IR652593","Issued","08/25/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","MDH Home Remodelers, Inc.","","3301 E 125th Str","","Burnsville","MN","55337","","","IR652594","Expired","08/25/2012","12/31/2025","0",""
"Business","Contractor Registration","Business Entity","Reinhardt & Sons Painting Inc.","","3333 Yates Ave North","","Minneapolis","MN","55422","6127602868","","IR652611","Issued","08/26/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","TMI Coatings Inc.","","3291 Terminal Drive","","Eagan","MN","55121","6514520598","","IR652620","Voluntary Termination","08/27/2012","12/31/2025","0",""
"Business","Contractor Registration","Business Entity"," Color Works Painting and Decorating Inc.","","8071 Ranchers Rd. NE","","Fridley","MN","55432","7637571407","","IR652621","Issued","08/27/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Minneapolis Glass Company","","9300 Decatur Drive North","","Brooklyn Park ","MN","55445","7635590635","","IR652643","Issued","08/27/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Landwehr Construction Inc.","","851 - 60th Street S","","Saint Cloud","MN","56301","3202521494","","IR652649","Issued","08/27/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Villeda Painting Incorporated","","4287 Sun Cliff Rd","","Eagan","MN","55122","7633575026","","IR652651","Issued","08/27/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Century Fence Company","","14839 Lake Dr. NE","","Forest Lake","MN","55025","6514647373","","IR652652","Issued","08/27/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Knutson Construction Services, Inc.","","7515 Wayzata Blvd","","Minneapolis","MN","55426","7635461400","","IR652666","Issued","08/27/2012","12/31/2027","0",""
"Business","Contractor Registration","Business Entity","Ballman Roofing & Coating LLC","","45668 State Highway 22","","Kasota","MN","56050","5075191196","","IR652667","Issued","08/27/2012","12/31/2027","0",""
