orgid,orgtype,orgnumber,schnumber,formid,gisname,mdename,altname,gisaddr,mdeaddr,pubpriv,loctype,graderange,class,magnet,locdistid,locdistname,countycode,countyname,createdt,updatedt,fed_schnum,web_url,year,latitude,longitude
10194589000,01,0194,589,0194-01-589,Lakeville Targeted Services,Lakeville Targeted Services,NULL,"19455 Kenwood Trl, Lakeville, MN 55044","19455 Kenwood Tr, Lakeville, MN 55044",Public,Member,KG-8,45,NO,10194000000,Lakeville,27037,Dakota,9/19/2022,8/8/2023,2.71778E+11,https://www.isd194.org/,SY2025-26,44.669132,-93.271538
12754002000,01,2754,002,2754-01-002,Cedar Mountain Middle/High,Cedar Mountain Middle/High School,NULL,"310 Somerville Ave, Morgan, MN 56266","310 Somerville Ave, Morgan, MN 56266",Public,Member,12-Jun,33,NO,12754000000,Cedar Mountain,27127,Redwood,4/13/2007,7/24/2024,2.70011E+11,https://www.cms.mntm.org/,SY2025-26,44.415881,-94.922507
12898015000,01,2898,015,2898-01-015,Walnut Grove Elementary,Walnut Grove Elementary,NULL,"601 Washington St, Walnut Grove, MN 56180","601 Washington St, Walnut Grove, MN 56180",Public,Member,EC-6,10,NO,12898000000,Westbrook-Walnut Grove,27127,Redwood,4/13/2007,7/10/2024,2.70018E+11,NA,SY2025-26,44.220401,-95.469334
30001469000,03,0001,469,0001-03-469,MERC Extended,MERC Extended,NULL,"2539 Pleasant Ave S, Minneapolis, MN 55404","2539 Pleasant Ave S, Minneapolis, MN 55404",Public,Member,12-Sep,43,NO,30001000000,Minneapolis,27053,Hennepin,10/1/2015,4/28/2022,2.72124E+11,NA,SY2025-26,44.955833,-93.282605
2.40019E+11,24,0019,000,0019-24,Martin Luther College,Martin Luther College,NULL,"1995 Luther Court, New Ulm, MN 56073","1995 Luther Court, New Ulm, MN 56073",Private or Nonpublic,Head,,,NO,10088000000,New Ulm,27015,Brown,10/26/2007,9/19/2022,,http://www.mlc-wels.edu,SY2025-26,44.305295,-94.472228
10625007000,01,0625,007,0625-01-007,Home/Hospital Instruction,Home/Hospital Instruction,NULL,"345 Smith Ave N, Saint Paul, MN 55102","345 Smith Ave N, Saint Paul, MN 55102-2346",Public,Member,EC-12,74,NO,10625000000,Saint Paul,27123,Ramsey,6/26/2007,8/2/2022,2.73384E+11,http://www.spps.org,SY2025-26,44.942232,-93.108428
12155001000,01,2155,001,2155-01-001,Wadena-Deer Creek Senior High,Wadena-Deer Creek Senior High,NULL,"600 Colfax Ave SW, Wadena, MN 56482","600 Colfax Ave SW, Wadena, MN 56482-0151",Public,Member,12-Jul,33,NO,12155000000,Wadena-Deer Creek,27159,Wadena,4/13/2007,8/10/2022,2.70002E+11,http://www.wdc2155.k12.mn.us,SY2025-26,46.44271,-95.147239
12884030000,01,2884,030,2884-01-030,Red Rock Central Elementary,Red Rock Central Elementary,NULL,"509 S Birch St, Lamberton, MN 56152","509 S Birch St, Lamberton, MN 56152",Public,Member,EC-6,10,NO,12884000000,Red Rock Central,27127,Redwood,10/5/2016,10/15/2024,2.70013E+11,https://www.redrockcentral.org/,SY2025-26,44.228331,-95.26122
74116050000,07,4116,050,4116-07-050,Online Learning Program,Online Learning Program,NULL,"19850 Fenway Ave N, Forest Lake, MN 55025","19850 Fenway Ave N, Forest Lake, MN 55025",Public,Member,12-Jun,46,NO,10831000000,Forest Lake,27163,Washington,6/13/2022,6/13/2022,2.70036E+11,https://www.mylila.org/,SY2025-26,45.237672,-93.000653
74253010000,07,4253,010,4253-07-010,Phoenix Academy Charter,Phoenix Academy Charter School,NULL,"38460 Lincoln Trl, North Branch, MN 55056","38460 Lincoln Trl, North Branch, MN 55056",Public,Member,KG-8,10,NO,10138000000,North Branch,27025,Chisago,8/1/2018,7/16/2024,2.70043E+11,https://www.phoenixacademycharterschool.com/,SY2025-26,45.505838,-92.969357
3.10273E+11,31,0273,001,0273-31-001,Avail Academy (Edina K-8 Campus),Avail Academy (Edina K-8 Campus),NULL,"4015 Inglewood Ave S, Edina, MN 55416","4015 Inglewood Ave S, Edina, MN 55416",Private or Nonpublic,Member,KG-8,,NO,10273000000,Edina,27053,Hennepin,6/8/2007,9/19/2022,27,https://availacademy.org/edina-k-8,SY2025-26,44.92925,-93.332718
8.9803E+11,89,8030,000,8030-89,Bayport Public Library,Bayport Public Library,Bayport,"582 4th St N, Bayport, MN 55003","582 4th St N, Bayport, MN 55003",Public,Head,,,NO,10834000000,Stillwater,27163,Washington,9/19/2022,10/31/2023,,https://www.bayportlibrary.org/,SY2025-26,45.021222,-92.781324
8.98116E+11,89,8116,040,8116-89-040,North St Paul Library,North St Paul Library,North St. Paul,"2290 N 1st St, North St Paul, MN 55109","2290 N 1st St, North Saint Paul, MN 55109",Public,Member,,,NO,10622000000,North St. Paul-Maplewood Oakdale,27123,Ramsey,9/19/2022,6/23/2023,,http://www.ramsey.lib.mn.us,SY2025-26,45.010717,-92.9971
10704001000,01,0704,001,0704-01-001,Proctor Senior High,Proctor Senior High,NULL,"131 9th Ave, Proctor, MN 55810","131 9th Ave, Proctor, MN 55810-2797",Public,Member,12-Sep,32,NO,10704000000,Proctor,27137,St. Louis,4/13/2007,5/31/2024,2.73009E+11,https://www.hs.proctor.k12.mn.us/o/phs,SY2025-26,46.743857,-92.236596
10787030000,01,0787,030,0787-01-030,Browerville ECFE,Browerville ECFE,NULL,"620 Park Ave N, Browerville, MN 56438","620 Park Ave N, Browerville, MN 56438",Public,Member,,84,NO,10787000000,Browerville,27153,Todd,10/1/2018,3/8/2022,2706300,https://www.browerville.k12.mn.us/,SY2025-26,46.085663,-94.872108
74038040000,07,4038,040,4038-07-040,Sojourner Truth Academy ESY,Sojourner Truth Academy ESY,NULL,"3820 Emerson Ave N, Minneapolis, MN 55412","3820 Emerson Ave N, Minneapolis, MN 55412-2039",Public,Member,KG-8,51,NO,30001000000,Minneapolis,27053,Hennepin,8/1/2011,6/14/2022,2700159,NA,SY2025-26,45.024428,-93.29415
7.50235E+11,75,0235,000,0235-75,Young Peoples Residential Center,Young People's Residential Center,NULL,"2001 W 3rd St, Duluth, MN 55806","2001 West 3rd St, Duluth, MN 55806",Public,Head,,,NO,10709000000,Duluth,27137,St. Louis,9/17/2010,8/22/2022,,NA,SY2025-26,46.769929,-92.126696
8.00119E+11,80,0119,000,0119-80,International Institute of MN,International Institute of MN,NULL,"1694 Como Ave, Saint Paul, MN 55108","1694 Como Ave, Saint Paul, MN 55108-2710",Public,Head,,82,NO,10625000000,Saint Paul,27123,Ramsey,4/27/2010,4/4/2022,,NA,SY2025-26,44.977029,-93.171803
10047012000,01,0047,012,0047-01-012,Sauk Rapids-Rice ECFE,Sauk Rapids-Rice Early Childhood Family Education,NULL,"200 NE 3rd Ave, Rice, MN 56367","200 NE 3rd Avenue, Rice, MN 56367",Public,Member,,84,NO,10047000000,Sauk Rapids-Rice,27009,Benton,10/1/2018,6/2/2022,2732880,https://www.isd47.org/,SY2025-26,45.755285,-94.218063
10112523000,01,0112,523,0112-01-523,The Anicca Program,The Anicca Program,NULL,"2200 Lyman Blvd, Chanhassen, MN 55317","2200 Lyman Blvd, Chanhassen, MN 55317",Public,Member,KG-12,79,NO,10112000000,Eastern Carver County,27019,Carver,10/1/2015,5/31/2024,2.70819E+11,https://www.carvercountymn.gov/,SY2025-26,44.844404,-93.574078
12142010000,01,2142,010,2142-01-010,Babbitt Elementary,Babbitt Elementary,NULL,"30 South Dr, Babbitt, MN 55706","30 South Dr, Babbitt, MN 55706-1108",Public,Member,EC+KG-6,10,NO,12142000000,St. Louis County,27137,St. Louis,4/13/2007,1/14/2025,2.70001E+11,http://isd2142.net/,SY2025-26,47.70793,-91.951568
12534045000,01,2534,045,2534-01-045,BOLD Special Education ESY,BOLD Special Education ESY,NULL,"701 S 9th St, Olivia, MN 56277","701 S. 9th Street, Olivia, MN 56277",Public,Member,KG-12,51,NO,12534000000,Bird Island-Olivia-Lake Lillian,27129,Renville,10/1/2015,5/31/2024,2705660,https://bold.k12.mn.us/,SY2025-26,44.769594,-94.988435
74016000000,07,4016,000,4016-07,World Learner Charter School,World Learner Charter School,NULL,"112050 Hundertmark Rd, Chaska, MN 55318","112050 Hundertmark Rd, Chaska, MN 55318-2817",Public,Head,8-Jan,,NO,10112000000,Eastern Carver County,27019,Carver,9/27/2007,4/5/2022,2700116,https://www.wlschaska.org/,SY2025-26,44.819206,-93.608213
74223000000,07,4223,000,4223-07,Saint Cloud Math and Science Academy,Saint Cloud Math and Science Academy Charter School,NULL,"1025 18th St N, Saint Cloud, MN 56303","1025 18th St N, Saint Cloud, MN 56303",Public,Head,KG-12,,NO,10742000000,St. Cloud,27145,Stearns,8/1/2014,5/22/2025,2700395,https://scmsastem.com/,SY2025-26,45.582438,-94.175295
10012172000,01,0012,172,0012-01-172,Credit Recovery (Centennial),Credit Recovery,NULL,"4881 101st Ln NE, Circle Pines, MN 55014","4881 101st Ln NE, Circle Pines, MN 55014",Public,Member,12-Sep,41,NO,10012000000,Centennial,27003,Anoka,8/6/2025,8/6/2025,2708100,NA,SY2025-26,45.155032,-93.145323
10196034000,01,0196,034,0196-01-034,ABE Diploma Program,ABE Diploma Program,NULL,"4679 144th St W, Apple Valley, MN 55124","4679 144th Street West, Apple Valley, MN 55124",Public,Member,12-Sep,42,NO,10196000000,Rosemount-Apple Valley-Eagan,27037,Dakota,6/1/2007,3/14/2022,2.73239E+11,https://ce.district196.org/adult/adult-basic-education,SY2025-26,44.741494,-93.16036
10492000000,01,0492,000,0492-01,Austin District Office,Austin Public School District,Austin,"401 3rd Ave NW, Austin, MN 55912","401 NW 3rd Ave, Austin, MN 55912-2378",Public,Head,,,NO,10492000000,Austin,27099,Mower,9/19/2022,9/10/2024,2703450,https://www.austin.k12.mn.us/,SY2025-26,43.669014,-92.979011
10728101000,01,0728,101,0728-01-101,Elk River Shared Time Prog.,Elk River District Shared Time Prog,NULL,"11500 193rd Ave NW, Elk River, MN 55330","11500 193rd Ave NW, Elk River, MN 55330-2519",Public,Member,KG-5,71,NO,10728000000,Elk River,27141,Sherburne,10/4/2007,5/29/2024,2.71137E+11,NA,SY2025-26,45.321028,-93.559478
12143060000,01,2143,060,2143-01-060,WEM ESY,WEM ESY,NULL,"500 Paquin St E, Waterville, MN 56096","500 Paquin St E, Waterville, MN 56096",Public,Member,KG-12,51,NO,12143000000,Waterville-Elysian-Morristown,27079,Le Sueur,5/12/2015,10/22/2024,2700013,http://www.wem.k12.mn.us,SY2025-26,44.217328,-93.562714
